Date,GBPCHF
01 Jan 2016,1.475748
02 Jan 2016,1.475922
03 Jan 2016,1.475922
04 Jan 2016,1.475922
05 Jan 2016,1.475516
06 Jan 2016,1.481145
07 Jan 2016,1.474565
08 Jan 2016,1.460866
09 Jan 2016,1.445893
10 Jan 2016,1.444586
11 Jan 2016,1.444586
12 Jan 2016,1.45331
13 Jan 2016,1.444317
14 Jan 2016,1.456705
15 Jan 2016,1.45103
16 Jan 2016,1.42801
17 Jan 2016,1.427527
18 Jan 2016,1.427527
19 Jan 2016,1.435258
20 Jan 2016,1.421526
21 Jan 2016,1.420697
22 Jan 2016,1.435745
23 Jan 2016,1.452103
24 Jan 2016,1.449447
25 Jan 2016,1.449447
26 Jan 2016,1.446962
27 Jan 2016,1.461571
28 Jan 2016,1.451784
29 Jan 2016,1.454917
30 Jan 2016,1.450106
31 Jan 2016,1.457258
01 Feb 2016,1.457258
02 Feb 2016,1.465462
03 Feb 2016,1.466118
04 Feb 2016,1.468642
05 Feb 2016,1.447624
06 Feb 2016,1.437372
07 Feb 2016,1.436951
08 Feb 2016,1.436951
09 Feb 2016,1.423692
10 Feb 2016,1.409002
11 Feb 2016,1.414061
12 Feb 2016,1.402183
13 Feb 2016,1.412697
14 Feb 2016,1.417411
15 Feb 2016,1.417411
16 Feb 2016,1.42656
17 Feb 2016,1.41332
18 Feb 2016,1.421155
19 Feb 2016,1.423961
20 Feb 2016,1.419283
21 Feb 2016,1.426318
22 Feb 2016,1.426318
23 Feb 2016,1.413
24 Feb 2016,1.39409
25 Feb 2016,1.376644
26 Feb 2016,1.379128
27 Feb 2016,1.381683
28 Feb 2016,1.382861
29 Feb 2016,1.382861
01 Mar 2016,1.387646
02 Mar 2016,1.393295
03 Mar 2016,1.402963
04 Mar 2016,1.403839
05 Mar 2016,1.411125
06 Mar 2016,1.413319
07 Mar 2016,1.413319
08 Mar 2016,1.420602
09 Mar 2016,1.411675
10 Mar 2016,1.41656
11 Mar 2016,1.410646
12 Mar 2016,1.41615
13 Mar 2016,1.413992
14 Mar 2016,1.413992
15 Mar 2016,1.412445
16 Mar 2016,1.396979
17 Mar 2016,1.3948
18 Mar 2016,1.39854
19 Mar 2016,1.402867
20 Mar 2016,1.40368
21 Mar 2016,1.40368
22 Mar 2016,1.393992
23 Mar 2016,1.381673
24 Mar 2016,1.375916
25 Mar 2016,1.38049
26 Mar 2016,1.380973
27 Mar 2016,1.38446
28 Mar 2016,1.38446
29 Mar 2016,1.386827
30 Mar 2016,1.392838
31 Mar 2016,1.386971
01 Apr 2016,1.37944
02 Apr 2016,1.362139
03 Apr 2016,1.362569
04 Apr 2016,1.362327
05 Apr 2016,1.369429
06 Apr 2016,1.353424
07 Apr 2016,1.350459
08 Apr 2016,1.344721
09 Apr 2016,1.345836
10 Apr 2016,1.347062
11 Apr 2016,1.347062
12 Apr 2016,1.358187
13 Apr 2016,1.363121
14 Apr 2016,1.373219
15 Apr 2016,1.368623
16 Apr 2016,1.374408
17 Apr 2016,1.374784
18 Apr 2016,1.374784
19 Apr 2016,1.376638
20 Apr 2016,1.381483
21 Apr 2016,1.395349
22 Apr 2016,1.394875
23 Apr 2016,1.409156
24 Apr 2016,1.409858
25 Apr 2016,1.409858
26 Apr 2016,1.413214
27 Apr 2016,1.420091
28 Apr 2016,1.412421
29 Apr 2016,1.412535
30 Apr 2016,1.401263
01 May 2016,1.40227
02 May 2016,1.40227
03 May 2016,1.400984
04 May 2016,1.386808
05 May 2016,1.387013
06 May 2016,1.402056
07 May 2016,1.40099
08 May 2016,1.403431
09 May 2016,1.403431
10 May 2016,1.397874
11 May 2016,1.408051
12 May 2016,1.404194
13 May 2016,1.400939
14 May 2016,1.40173
15 May 2016,1.400724
16 May 2016,1.400724
17 May 2016,1.407694
18 May 2016,1.414849
19 May 2016,1.435633
20 May 2016,1.448512
21 May 2016,1.437585
22 May 2016,1.43588
23 May 2016,1.442237
24 May 2016,1.433197
25 May 2016,1.450959
26 May 2016,1.457321
27 May 2016,1.450519
